year,HPI
1999-01-01,89.242139591600989
1999-02-01,90.560607284094004
1999-03-01,91.288558519046006
1999-04-01,92.153382505472990
1999-05-01,92.999174880992001
1999-06-01,93.800590649739007
1999-07-01,95.077946773655995
1999-08-01,96.080050128601997
1999-09-01,97.204709510211003
1999-10-01,98.212419635476991
1999-11-01,99.270912340158006
1999-12-01,100.358313364173000
2000-01-01,100.919817075924001
2000-02-01,101.894221520209001
2000-03-01,102.651012231826002
2000-04-01,104.347652448136998
2000-05-01,106.009542831882996
2000-06-01,107.930273259792003
2000-07-01,108.924528398142002
2000-08-01,110.129174110202996
2000-09-01,111.370845355051003
2000-10-01,112.969418735919007
2000-11-01,114.770249025140004
2000-12-01,116.950496542807997
2001-01-01,118.837638179823003
2001-02-01,120.406708256095015
2001-03-01,121.556149824548996
2001-04-01,122.739598665223994
2001-05-01,123.177646164558993
2001-06-01,124.439708287648997
2001-07-01,125.601493254195006
2001-08-01,126.943099298836003
2001-09-01,128.146097575849012
2001-10-01,129.133296700480997
2001-11-01,130.181564970522004
2001-12-01,130.509512116739018
2002-01-01,131.353007157939004
2002-02-01,131.773576323876000
2002-03-01,132.967908393111998
2002-04-01,134.527804117106996
2002-05-01,136.681798019726017
2002-06-01,138.771836643360984
2002-07-01,140.541564298271993
2002-08-01,142.307937843839994
2002-09-01,144.203128212948002
2002-10-01,145.848389555647998
2002-11-01,147.409319844989994
2002-12-01,147.858348868597005
2003-01-01,148.524578696305014
2003-02-01,149.697894363462012
2003-03-01,150.972863478586987
2003-04-01,151.641762645851998
2003-05-01,151.878977969610986
2003-06-01,152.378730960098977
2003-07-01,152.891998465947012
2003-08-01,153.564692849932015
2003-09-01,154.607058817421006
2003-10-01,155.901888729028002
2003-11-01,157.682690534834990
2003-12-01,159.303469358938003
2004-01-01,160.572798397076014
2004-02-01,161.987351244241012
2004-03-01,163.253347891753009
2004-04-01,165.531488508672993
2004-05-01,166.174515000469995
2004-06-01,167.516736009051982
2004-07-01,168.141205019599994
2004-08-01,169.289109575130993
2004-09-01,170.158806379763007
2004-10-01,172.048341529495019
2004-11-01,173.052189930185023
2004-12-01,174.318577467444982
2005-01-01,175.759620979094990
2005-02-01,177.935600503748020
2005-03-01,179.460165432892012
2005-04-01,180.493222041588012
2005-05-01,180.710044881155028
2005-06-01,180.083127537880017
2005-07-01,180.011988111801998
2005-08-01,179.700981201399003
2005-09-01,180.147637835273031
2005-10-01,180.012924980201007
2005-11-01,180.811935469275028
2005-12-01,180.437692282811014
2006-01-01,180.626940319662026
2006-02-01,179.543716594557992
2006-03-01,180.049996295988990
2006-04-01,179.342218324947027
2006-05-01,178.325603418521013
2006-06-01,176.495018140946001
2006-07-01,175.601656575647013
2006-08-01,174.917550691687012
2006-09-01,173.847766438678008
2006-10-01,173.731473351609992
2006-11-01,171.911224631938012
2006-12-01,171.287882338041982
2007-01-01,170.577562398829002
2007-02-01,171.282276621847984
2007-03-01,171.851347140528986
2007-04-01,171.648802972292998
2007-05-01,170.934030428006992
2007-06-01,169.706867085277992
2007-07-01,169.228932165288995
2007-08-01,167.986614205604980
2007-09-01,168.040513980295003
2007-10-01,167.412345734767996
2007-11-01,166.957873921217981
2007-12-01,165.528701005596986
2008-01-01,164.753593754046989
2008-02-01,163.531809966657022
2008-03-01,162.222515861879998
2008-04-01,160.953305266464014
2008-05-01,160.576911042436990
2008-06-01,160.546970733037000
2008-07-01,159.673788871954002
2008-08-01,159.491786485576995
2008-09-01,158.220526456913007
2008-10-01,157.436058245878996
2008-11-01,154.842661993321997
2008-12-01,153.998323389614001
2009-01-01,152.676731454870009
2009-02-01,151.910089310578996
2009-03-01,149.671896839661997
2009-04-01,148.790686173586010
2009-05-01,149.164087058467999
2009-06-01,150.841248101904995
2009-07-01,151.368918164473001
2009-08-01,152.392099578596003
2009-09-01,152.802837006927007
2009-10-01,153.145109359876017
2009-11-01,154.079943280201007
2009-12-01,154.835305909923989
2010-01-01,154.978314024941000
2010-02-01,154.733639292707011
2010-03-01,155.617179892282991
2010-04-01,156.040535782155985
2010-05-01,156.411167074085000
2010-06-01,155.725791349117003
2010-07-01,155.267216334942987
2010-08-01,154.506114514144997
2010-09-01,153.387512248690001
2010-10-01,152.999073726636993
2010-11-01,153.064517813076009
2010-12-01,153.703178106845996
2011-01-01,154.204714194177996
2011-02-01,153.243493307107997
2011-03-01,151.378383359402989
2011-04-01,149.237568189944994
2011-05-01,151.178496720701020
2011-06-01,152.327230838422992
2011-07-01,152.161428160498019
2011-08-01,151.786329656048991
2011-09-01,151.608142898166989
2011-10-01,151.608751359292000
2011-11-01,150.811065525811017
2011-12-01,149.829404204257003
2012-01-01,149.916470028060019
2012-02-01,149.597838150615985
2012-03-01,149.626430934692991
2012-04-01,148.974741218660995
2012-05-01,150.666997060943004
2012-06-01,152.273157351303013
2012-07-01,153.647857180133002
2012-08-01,154.641515149543977
2012-09-01,154.629106412114993
2012-10-01,154.221116299182995
2012-11-01,154.280576469980019
2012-12-01,155.275121496145005
2013-01-01,155.999065392619997
2013-02-01,157.326384469960004
2013-03-01,159.106645695823005
2013-04-01,160.633219613552995
2013-05-01,161.645710355410017
2013-06-01,162.539144564320992
2013-07-01,163.571729285594017
2013-08-01,164.815433069609014
2013-09-01,166.519196649708988
2013-10-01,167.680353203879008
2013-11-01,169.473316721730981
2013-12-01,170.306964583908012
2014-01-01,170.234467840979988
2014-02-01,170.467864933537015
2014-03-01,171.451601670721004
2014-04-01,174.664667456407017
2014-05-01,174.757371647396013
2014-06-01,173.981598482393991
2014-07-01,173.153182788670989
2014-08-01,173.483408958810003
2014-09-01,174.165800808461000
2014-10-01,175.023902764852977
2014-11-01,175.977211067013997
2014-12-01,176.641433792685007
2015-01-01,178.245916911021993
2015-02-01,178.803411475676995
2015-03-01,178.695629685045020
2015-04-01,177.184865637214017
2015-05-01,178.380822790140002
2015-06-01,179.693072827865990
2015-07-01,180.964588293568994
2015-08-01,181.825929183084952
2015-09-01,182.457016583723970
2015-10-01,183.651386105575995
2015-11-01,183.877017119712974
2015-12-01,184.447787161066003
2016-01-01,184.551141188336004
2016-02-01,185.231988736977996
2016-03-01,186.174578603084001
2016-04-01,186.899848598606951
2016-05-01,188.174417514461993
2016-06-01,188.139306478960009
2016-07-01,188.770289426293004
2016-08-01,189.599459852459006
2016-09-01,190.537436591256011
2016-10-01,191.908842416482003
2016-11-01,193.771275239553006
2016-12-01,195.787490227055002
2017-01-01,197.362385896796013
2017-02-01,198.977439332799946
2017-03-01,199.748725998632011
2017-04-01,198.939686361352955
2017-05-01,199.340580899727996
2017-06-01,199.907959464379047
2017-07-01,201.930897698340999
2017-08-01,203.025882224817991
2017-09-01,204.566468113532011
2017-10-01,205.190286254555048
2017-11-01,205.699770017703997
2017-12-01,206.531512458126997
2018-01-01,207.948259406926013
2018-02-01,210.611555760209995
2018-03-01,210.609969575956995
2018-04-01,211.874263954709050
2018-05-01,212.804248293704006
2018-06-01,213.480022070913009
2018-07-01,213.708301732513007
2018-08-01,214.231221064408004
2018-09-01,214.963177483277008
2018-10-01,216.184252815714956
2018-11-01,217.072128279863989
2018-12-01,217.275277976153006
2019-01-01,217.478470363307991
2019-02-01,217.362486129865999
2019-03-01,218.369957903082991
2019-04-01,219.634896610645001
2019-05-01,219.934773880503002
2019-06-01,221.276548867051048
2019-07-01,221.831604781701003
2019-08-01,222.684569581299996
2019-09-01,222.591716145694988
2019-10-01,223.788848488305007
2019-11-01,225.581380417574991
2019-12-01,227.164459889621014
2020-01-01,227.563284561306006
2020-02-01,228.071544654586006
2020-03-01,228.732244783026005
2020-04-01,228.777156757549051
2020-05-01,228.858439831506956
2020-06-01,228.688257704051011
2020-07-01,231.436288875828012
2020-08-01,235.355958296242989
2020-09-01,240.014030787888004
2020-10-01,245.013483482113003
2020-11-01,249.447042164030989
2020-12-01,253.451816236577997
2021-01-01,256.873830753700986
