neighborhood,year,total_pop,White,White_per,Black/African American,Black/African American_per,Asian,Asian_per,Pacific Islander,Pacific Islander_per,Other,Other_per,Two or More,Two or More_per,Hispanic/Latino,Hispanic/Latino_per
Allston,2010,26758.0,15858.0,59.26,1254.0,4.69,5229.0,19.54,13.0,0.05,447.0,1.67,801.0,2.99,3132.0,11.7
Allston,2020,24548.0,12578.0,51.24,1157.0,4.71,6223.0,25.35,12.0,0.05,303.0,1.23,1144.0,4.66,3107.0,12.66
Back Bay,2010,16789.0,12854.0,76.56,964.0,5.74,1681.0,10.01,2.0,0.01,59.0,0.35,321.0,1.91,888.0,5.29
Back Bay,2020,22080.0,15242.0,69.03,1110.0,5.03,3300.0,14.95,2.0,0.01,118.0,0.53,753.0,3.41,1538.0,6.97
Beacon Hill,2010,14446.0,11282.0,78.1,793.0,5.49,1227.0,8.49,2.0,0.01,44.0,0.3,230.0,1.59,855.0,5.92
Beacon Hill,2020,18881.0,13753.0,72.84,693.0,3.67,2263.0,11.99,2.0,0.01,144.0,0.76,708.0,3.75,1306.0,6.92
Brighton,2010,48239.0,33711.0,69.88,2177.0,4.51,6314.0,13.09,12.0,0.02,642.0,1.33,1034.0,2.14,4308.0,8.93
Brighton,2020,50121.0,31427.0,62.7,2379.0,4.75,8177.0,16.31,32.0,0.06,722.0,1.44,2002.0,3.99,5318.0,10.61
Charlestown,2010,16439.0,12458.0,75.78,764.0,4.65,1334.0,8.11,10.0,0.06,62.0,0.38,202.0,1.23,1591.0,9.68
Charlestown,2020,19120.0,13626.0,71.27,990.0,5.18,1646.0,8.61,4.0,0.02,98.0,0.51,665.0,3.48,2075.0,10.85
Chinatown,2010,11120.0,5273.0,47.42,456.0,4.1,4642.0,41.74,4.0,0.04,20.0,0.18,199.0,1.79,520.0,4.68
Chinatown,2020,12760.0,5890.0,46.16,537.0,4.21,4888.0,38.31,8.0,0.06,52.0,0.41,426.0,3.34,948.0,7.43
Dorchester,2010,128863.0,25593.0,19.86,58270.0,45.22,10706.0,8.31,36.0,0.03,5545.0,4.3,4699.0,3.65,23635.0,18.34
Dorchester,2020,134782.0,26992.0,20.03,50418.0,37.41,12469.0,9.25,31.0,0.02,3866.0,2.87,10568.0,7.84,30092.0,22.33
Downtown,2010,37882.0,27724.0,73.19,1356.0,3.58,5096.0,13.45,13.0,0.03,125.0,0.33,874.0,2.31,2640.0,6.97
Downtown,2020,41359.0,26959.0,65.18,1688.0,4.08,7436.0,17.98,39.0,0.09,259.0,0.63,1507.0,3.64,3421.0,8.27
East Boston,2010,40508.0,15051.0,37.16,1283.0,3.17,1410.0,3.48,3.0,0.01,655.0,1.62,618.0,1.53,21419.0,52.88
East Boston,2020,42985.0,15706.0,36.54,1399.0,3.25,1915.0,4.46,13.0,0.03,678.0,1.58,1539.0,3.58,21690.0,50.46
Hyde Park,2010,32311.0,9123.0,28.23,15111.0,46.77,524.0,1.62,10.0,0.03,262.0,0.81,689.0,2.13,6507.0,20.14
Hyde Park,2020,34165.0,7630.0,22.33,15628.0,45.74,723.0,2.12,13.0,0.04,363.0,1.06,1435.0,4.2,8317.0,24.34
Jamaica Plain,2010,39970.0,21161.0,52.94,5445.0,13.62,2245.0,5.62,7.0,0.02,213.0,0.53,1004.0,2.51,9816.0,24.56
Jamaica Plain,2020,37831.0,21196.0,56.03,3816.0,10.09,2965.0,7.84,16.0,0.04,297.0,0.79,1892.0,5.0,7610.0,20.12
Longwood,2010,20445.0,14033.0,68.64,1335.0,6.53,2963.0,14.49,7.0,0.03,75.0,0.37,480.0,2.35,1524.0,7.45
Longwood,2020,22713.0,13194.0,58.09,1673.0,7.37,4706.0,20.72,29.0,0.13,254.0,1.12,989.0,4.35,1853.0,8.16
Mattapan,2010,22500.0,1434.0,6.37,17179.0,76.35,383.0,1.7,3.0,0.01,162.0,0.72,558.0,2.48,2722.0,12.1
Mattapan,2020,23743.0,1462.0,6.16,16258.0,68.47,478.0,2.01,11.0,0.05,223.0,0.94,1218.0,5.13,4039.0,17.01
Mission Hill,2010,20150.0,8418.0,41.78,4023.0,19.97,2450.0,12.16,8.0,0.04,92.0,0.46,422.0,2.09,4680.0,23.23
Mission Hill,2020,25538.0,8692.0,34.04,4393.0,17.2,5831.0,22.83,7.0,0.03,231.0,0.9,955.0,3.74,5400.0,21.14
Roslindale,2010,26368.0,13363.0,50.68,5376.0,20.39,666.0,2.53,9.0,0.03,175.0,0.66,563.0,2.14,6156.0,23.35
Roslindale,2020,29586.0,14014.0,47.37,5784.0,19.55,984.0,3.33,3.0,0.01,262.0,0.89,1259.0,4.26,7255.0,24.52
Roxbury,2010,26792.0,2205.0,8.23,14239.0,53.15,415.0,1.55,15.0,0.06,1106.0,4.13,884.0,3.3,7807.0,29.14
Roxbury,2020,30382.0,3924.0,12.92,12661.0,41.67,1241.0,4.08,6.0,0.02,727.0,2.39,2165.0,7.13,9585.0,31.55
South Boston,2010,33674.0,26538.0,78.81,1572.0,4.67,1630.0,4.84,12.0,0.04,138.0,0.41,401.0,1.19,3345.0,9.93
South Boston,2020,36234.0,28911.0,79.79,1188.0,3.28,1928.0,5.32,3.0,0.01,155.0,0.43,956.0,2.64,3058.0,8.44
South Boston Waterfront,2020,5573.0,4314.0,77.41,160.0,2.87,481.0,8.63,1.0,0.02,66.0,1.18,235.0,4.22,314.0,5.63
South End,2010,23342.0,11754.0,50.36,3310.0,14.18,3953.0,16.94,7.0,0.03,125.0,0.54,484.0,2.07,3664.0,15.7
South End,2020,26295.0,13739.0,52.25,3145.0,11.96,4224.0,16.06,8.0,0.03,157.0,0.6,995.0,3.78,3987.0,15.16
West Roxbury,2010,30451.0,22307.0,73.26,2959.0,9.72,1969.0,6.47,8.0,0.03,118.0,0.39,488.0,1.6,2573.0,8.45
West Roxbury,2020,31443.0,20848.0,66.3,3288.0,10.46,2438.0,7.75,2.0,0.01,220.0,0.7,1065.0,3.39,3556.0,11.31
