year,HPI
2000,104.777333333333317
2001,113.186000000000007
2002,122.287916666666661
2003,133.741749999999996
2004,150.465249999999997
2005,171.780583333333311
2006,183.481249999999989
2007,179.942916666666662
2008,164.060666666666663
2009,148.553083333333319
2010,144.663333333333327
2011,139.238000000000000
2012,140.984000000000009
2013,154.517666666666656
2014,164.674666666666667
2015,172.161166666666674
2016,180.901749999999993
2017,191.372749999999996
2018,202.447000000000003
2019,209.422750000000008
2020,222.092250000000007
2021,260.004999999999995
2022,298.410083333333318
