year,price,neighborhood
2000,275000,allston
2001,300000,allston
2002,342400,allston
2003,369900,allston
2004,404000,allston
2005,424000,allston
2006,407000,allston
2007,403000,allston
2008,365000,allston
2009,352000,allston
2010,367500,allston
2011,360221,allston
2012,370000,allston
2013,400000,allston
2014,421000,allston
2015,439900,allston
2016,458000,allston
2017,490177,allston
2018,520000,allston
2019,535000,allston
2020,595000,allston
2021,665088,allston
2022,710000,allston
2000,975000,back bay
2001,900000,back bay
2002,942400,back bay
2003,969900,back bay
2004,904000,back bay
2005,924000,back bay
2006,907000,back bay
2007,903000,back bay
2008,965000,back bay
2009,952000,back bay
2010,967500,back bay
2011,960221,back bay
2012,970000,back bay
2013,900000,back bay
2014,921000,back bay
2015,939900,back bay
2016,958000,back bay
2017,990177,back bay
2018,920000,back bay
2019,935000,back bay
2020,995000,back bay
2021,965088,back bay
2022,910000,back bay
