Neighborhood,Year,Seller Investor Type,Sale Count,Total Price Volume
Allston,2000,Small,15,"8,088,500"
Allston,2001,Small,33,"15,081,350"
Allston,2002,Small,17,"7,726,900"
Allston,2003,Small,22,"17,704,666"
Allston,2004,Small,55,"28,445,900"
Allston,2005,Small,39,"27,401,840"
Allston,2006,Small,28,"10,824,896"
Allston,2007,Small,31,"17,579,000"
Allston,2008,Small,43,"22,894,240"
Allston,2009,Small,50,"18,994,700"
Allston,2010,Small,22,"10,266,823"
Allston,2011,Small,10,"4,600,103"
Allston,2012,Small,23,"14,774,500"
Allston,2013,Small,31,"16,722,790"
Allston,2014,Small,18,"17,310,000"
Allston,2015,Small,26,"20,584,888"
Allston,2016,Small,21,"13,416,638"
Allston,2017,Small,25,"22,175,335"
Allston,2018,Small,19,"11,388,360"
Allston,2019,Small,8,"12,798,600"
Allston,2020,Small,14,"11,458,800"
Allston,2021,Small,41,"42,284,689"
Allston,2022,Small,14,"10,208,000"
Allston,2000,Medium,9,"2,043,750"
Allston,2001,Medium,18,"8,272,750"
Allston,2002,Medium,17,"4,082,550"
Allston,2003,Medium,13,"9,696,315"
Allston,2004,Medium,15,"23,865,475"
Allston,2005,Medium,15,"6,680,800"
Allston,2006,Medium,15,"15,946,800"
Allston,2007,Medium,12,"5,390,400"
Allston,2008,Medium,7,"6,592,200"
Allston,2009,Medium,6,"2,851,000"
Allston,2010,Medium,10,"3,591,000"
Allston,2011,Medium,5,"2,491,140"
Allston,2012,Medium,16,"21,851,000"
Allston,2013,Medium,17,"14,859,400"
Allston,2014,Medium,10,"10,820,300"
Allston,2015,Medium,13,"16,299,400"
Allston,2016,Medium,13,"10,487,800"
Allston,2017,Medium,11,"12,185,000"
Allston,2018,Medium,12,"11,656,059"
Allston,2019,Medium,12,"8,349,000"
Allston,2020,Medium,13,"7,143,100"
Allston,2021,Medium,19,"19,309,300"
Allston,2022,Medium,10,"9,413,188"
Allston,2000,Large,4,"12,172,000"
Allston,2001,Large,4,"1,275,000"
Allston,2002,Large,5,"1,125,400"
Allston,2003,Large,10,"15,393,900"
Allston,2004,Large,9,"44,660,500"
Allston,2005,Large,21,"25,073,799"
Allston,2006,Large,34,"13,759,959"
Allston,2007,Large,4,"9,956,000"
Allston,2008,Large,4,"4,189,400"
Allston,2009,Large,5,"2,778,000"
Allston,2010,Large,5,"3,653,820"
Allston,2011,Large,9,"47,900,500"
Allston,2012,Large,9,"35,479,500"
Allston,2013,Large,5,"6,625,000"
Allston,2014,Large,9,"19,596,250"
Allston,2015,Large,5,"46,815,000"
Allston,2016,Large,6,"17,481,750"
Allston,2017,Large,16,"29,195,000"
Allston,2018,Large,5,"53,230,000"
Allston,2019,Large,3,"2,750,000"
Allston,2020,Large,5,"5,191,000"
Allston,2021,Large,10,"6,095,900"
Allston,2022,Large,8,"48,768,000"
Allston,2000,Institutional,2,"378,250"
Allston,2001,Institutional,6,"1,648,100"
Allston,2002,Institutional,2,"504,900"
Allston,2003,Institutional,5,"1,238,573"
Allston,2004,Institutional,5,"2,752,000"
Allston,2005,Institutional,14,"67,157,765"
Allston,2006,Institutional,6,"2,020,481"
Allston,2007,Institutional,12,"6,166,307"
Allston,2008,Institutional,17,"5,292,288"
Allston,2009,Institutional,8,"2,093,529"
Allston,2010,Institutional,11,"2,822,027"
Allston,2011,Institutional,35,"166,468,812"
Allston,2012,Institutional,8,"2,244,835"
Allston,2013,Institutional,3,"686,870"
Allston,2014,Institutional,3,"2,002,792"
Allston,2015,Institutional,49,"295,461,149"
Allston,2016,Institutional,2,"965,000"
Allston,2017,Institutional,8,"3,354,707"
Allston,2018,Institutional,2,"1,155,000"
Allston,2019,Institutional,5,"9,964,999"
Allston,2020,Institutional,2,"1,680,000"
Allston,2021,Institutional,2,"4,420,000"
Allston,2022,Institutional,6,"546,728,864"
Back Bay,2000,Small,132,"140,331,639"
Back Bay,2001,Small,77,"78,107,289"
Back Bay,2002,Small,63,"68,020,662"
Back Bay,2003,Small,76,"78,699,647"
Back Bay,2004,Small,237,"244,717,600"
Back Bay,2005,Small,231,"272,507,869"
Back Bay,2006,Small,134,"169,462,091"
Back Bay,2007,Small,116,"173,914,500"
Back Bay,2008,Small,125,"180,601,395"
Back Bay,2009,Small,54,"77,768,395"
Back Bay,2010,Small,80,"129,217,735"
Back Bay,2011,Small,92,"143,215,750"
Back Bay,2012,Small,117,"181,087,016"
Back Bay,2013,Small,77,"138,921,803"
Back Bay,2014,Small,68,"131,119,855"
Back Bay,2015,Small,85,"163,845,109"
Back Bay,2016,Small,79,"170,385,333"
Back Bay,2017,Small,72,"128,957,151"
Back Bay,2018,Small,92,"184,256,114"
Back Bay,2019,Small,74,"141,156,182"
Back Bay,2020,Small,52,"127,463,276"
Back Bay,2021,Small,85,"187,328,250"
Back Bay,2022,Small,82,"191,037,268"
Back Bay,2000,Medium,22,"54,371,468"
Back Bay,2001,Medium,13,"36,580,000"
Back Bay,2002,Medium,24,"31,794,020"
Back Bay,2003,Medium,24,"43,344,925"
Back Bay,2004,Medium,38,"68,090,700"
Back Bay,2005,Medium,27,"43,866,400"
Back Bay,2006,Medium,31,"65,759,650"
Back Bay,2007,Medium,39,"109,968,458"
Back Bay,2008,Medium,19,"42,780,251"
Back Bay,2009,Medium,44,"68,001,625"
Back Bay,2010,Medium,48,"100,374,519"
Back Bay,2011,Medium,44,"151,314,267"
Back Bay,2012,Medium,47,"108,912,000"
Back Bay,2013,Medium,41,"129,720,000"
Back Bay,2014,Medium,40,"166,502,499"
Back Bay,2015,Medium,37,"124,024,500"
Back Bay,2016,Medium,44,"109,127,350"
Back Bay,2017,Medium,44,"142,187,500"
Back Bay,2018,Medium,59,"177,646,500"
Back Bay,2019,Medium,37,"155,406,500"
Back Bay,2020,Medium,41,"178,640,000"
Back Bay,2021,Medium,48,"211,186,500"
Back Bay,2022,Medium,30,"126,039,000"
Back Bay,2000,Large,8,"7,619,500"
Back Bay,2001,Large,3,"988,500"
Back Bay,2002,Large,9,"9,678,500"
Back Bay,2003,Large,6,"7,054,000"
Back Bay,2004,Large,12,"21,842,500"
Back Bay,2005,Large,17,"48,245,500"
Back Bay,2006,Large,14,"34,998,500"
Back Bay,2007,Large,21,"98,643,861"
Back Bay,2008,Large,12,"24,173,789"
Back Bay,2009,Large,3,"4,915,000"
Back Bay,2010,Large,13,"54,569,823"
Back Bay,2011,Large,12,"53,973,398"
Back Bay,2012,Large,16,"87,690,000"
Back Bay,2013,Large,11,"51,036,250"
Back Bay,2014,Large,22,"151,915,465"
Back Bay,2015,Large,18,"72,718,940"
Back Bay,2016,Large,30,"153,641,000"
Back Bay,2017,Large,27,"200,505,508"
Back Bay,2018,Large,17,"113,951,200"
Back Bay,2019,Large,24,"145,166,000"
Back Bay,2020,Large,19,"131,967,401"
Back Bay,2021,Large,25,"200,337,880"
Back Bay,2022,Large,22,"118,391,000"
