year,line1,line2,bar
2000,275000,65770,-209230
2001,300000,66856,-233144
2002,342400,66972,-275428
2003,369900,68560,-301349
2004,404000,70396,-333604
2005,424000,73308,-350692
2006,407000,77318,-329682
2007,403000,78838,-324162
2008,365000,79636,-285364
2009,352000,78542,-273458
2010,367500,78176,-289324
2011,360221,81000,-279221
2012,370000,82848,-287152
2013,400000,84690,-315310
2014,421000,88758,-332242
2015,439900,92674,-347226
2016,458000,97348,-360652
2017,490177,100386,-389791
2018,520000,106052,-413948
2019,535000,116724,-418276
2020,595000,115316,-479684
2021,665088,121832,-543256
2022,710000,126506,-583494
