neighborhood,year,price
Allston,2022,"1,930,461.54"
Allston,2021,"859,792.86"
Allston,2020,"795,745.10"
Allston,2019,"682,279.11"
Allston,2018,"1,042,463.25"
Allston,2017,"549,700.00"
Allston,2016,"1,701,467.67"
Allston,2015,"642,666.67"
Allston,2014,"515,558.82"
Allston,2013,"539,069.20"
Allston,2012,"392,443.75"
Allston,2011,"390,924.22"
Allston,2010,"401,500.00"
Allston,2009,"436,055.56"
Allston,2008,"483,947.94"
Allston,2007,"481,222.22"
Allston,2006,"445,083.33"
Allston,2005,"498,397.83"
Allston,2004,"400,578.95"
Allston,2003,"368,429.35"
Allston,2002,"351,800.00"
Allston,2001,"336,642.86"
Allston,2000,"256,123.53"
Back Bay,2022,"4,661,909.09"
Back Bay,2021,"4,508,405.88"
Back Bay,2020,"4,187,625.00"
Back Bay,2019,"3,981,743.75"
Back Bay,2018,"3,357,327.38"
Back Bay,2017,"3,380,104.55"
Back Bay,2016,"2,573,642.86"
Back Bay,2015,"3,427,176.47"
Back Bay,2014,"5,460,369.05"
Back Bay,2013,"3,192,092.39"
Back Bay,2012,"2,297,444.44"
Back Bay,2011,"2,750,473.68"
Back Bay,2010,"1,983,700.00"
Back Bay,2009,"1,534,980.00"
Back Bay,2008,"1,329,633.93"
Back Bay,2007,"1,592,307.69"
Back Bay,2006,"1,842,041.67"
Back Bay,2005,"1,277,678.95"
Back Bay,2004,"1,935,404.76"
Back Bay,2003,"1,886,040.28"
Back Bay,2002,"1,047,444.44"
Back Bay,2001,"1,126,933.33"
Back Bay,2000,"1,667,437.50"
Beacon Hill,2022,"4,530,822.58"
Beacon Hill,2021,"3,807,784.09"
Beacon Hill,2020,"4,238,421.05"
Beacon Hill,2019,"3,269,041.67"
Beacon Hill,2018,"3,737,825.00"
Beacon Hill,2017,"3,755,796.44"
Beacon Hill,2016,"3,213,840.06"
Beacon Hill,2015,"2,885,221.15"
Beacon Hill,2014,"3,789,142.86"
Beacon Hill,2013,"2,612,690.28"
Beacon Hill,2012,"2,451,826.92"
Beacon Hill,2011,"2,836,180.00"
Beacon Hill,2010,"2,407,501.85"
Beacon Hill,2009,"2,884,194.88"
Beacon Hill,2008,"2,150,652.78"
Beacon Hill,2007,"2,043,474.95"
Beacon Hill,2006,"2,423,250.00"
Beacon Hill,2005,"2,311,254.81"
Beacon Hill,2004,"2,061,955.00"
Beacon Hill,2003,"2,202,045.45"
Beacon Hill,2002,"1,911,000.00"
Beacon Hill,2001,"1,938,020.00"
Beacon Hill,2000,"1,661,477.27"
Brighton,2022,"834,688.92"
Brighton,2021,"930,284.50"
Brighton,2020,"858,069.26"
Brighton,2019,"785,186.90"
Brighton,2018,"706,700.00"
Brighton,2017,"646,282.50"
Brighton,2016,"664,335.05"
Brighton,2015,"1,017,241.23"
Brighton,2014,"525,935.71"
Brighton,2013,"465,054.18"
Brighton,2012,"436,582.93"
Brighton,2011,"476,137.73"
Brighton,2010,"414,574.44"
Brighton,2009,"412,298.39"
Brighton,2008,"454,138.15"
Brighton,2007,"461,205.56"
Brighton,2006,"507,759.84"
Brighton,2005,"482,206.40"
Brighton,2004,"444,156.82"
Brighton,2003,"381,134.61"
Brighton,2002,"375,520.12"
Brighton,2001,"324,644.62"
Brighton,2000,"291,544.44"
Charlestown,2022,"1,505,751.19"
Charlestown,2021,"1,422,643.33"
Charlestown,2020,"1,230,458.77"
Charlestown,2019,"1,257,132.86"
Charlestown,2018,"1,104,537.42"
Charlestown,2017,"1,036,345.00"
Charlestown,2016,"1,037,274.60"
Charlestown,2015,"935,252.74"
Charlestown,2014,"759,467.88"
Charlestown,2013,"749,771.74"
Charlestown,2012,"697,230.49"
Charlestown,2011,"644,128.43"
Charlestown,2010,"667,545.90"
Charlestown,2009,"540,072.90"
Charlestown,2008,"618,361.85"
Charlestown,2007,"640,925.18"
Charlestown,2006,"627,700.05"
Charlestown,2005,"610,868.65"
Charlestown,2004,"589,890.91"
Charlestown,2003,"519,210.14"
Charlestown,2002,"474,510.62"
Charlestown,2001,"503,193.67"
Charlestown,2000,"420,225.46"
Chinatown,2021,"1,050,000.00"
Chinatown,2016,"1,195,000.00"
Chinatown,2004,"400,000.00"
Dorchester,2022,"757,898.12"
Dorchester,2021,"669,227.42"
Dorchester,2020,"680,843.90"
Dorchester,2019,"559,109.55"
Dorchester,2018,"512,015.80"
Dorchester,2017,"472,123.39"
Dorchester,2016,"412,742.11"
Dorchester,2015,"394,725.69"
Dorchester,2014,"696,199.79"
Dorchester,2013,"292,945.51"
Dorchester,2012,"279,050.20"
Dorchester,2011,"260,722.22"
Dorchester,2010,"260,360.80"
Dorchester,2009,"257,788.93"
Dorchester,2008,"278,155.49"
Dorchester,2007,"321,295.35"
Dorchester,2006,"348,999.13"
Dorchester,2005,"353,340.49"
Dorchester,2004,"345,975.09"
Dorchester,2003,"300,024.46"
Dorchester,2002,"259,246.31"
Dorchester,2001,"207,477.08"
Dorchester,2000,"172,549.10"
Downtown,2022,"2,860,000.00"
Downtown,2021,"1,350,000.00"
Downtown,2020,"1,550,000.00"
Downtown,2019,"3,500,000.00"
Downtown,2017,"1,362,500.00"
Downtown,2016,"688,000.00"
Downtown,2014,"1,622,350.00"
Downtown,2012,"1,605,000.00"
Downtown,2011,"736,750.00"
Downtown,2009,"830,000.00"
Downtown,2006,"681,250.00"
Downtown,2005,"577,000.00"
Downtown,2004,"847,500.00"
Downtown,2003,"470,000.00"
Downtown,2000,"517,250.00"
East Boston,2022,"733,303.21"
East Boston,2021,"835,513.89"
East Boston,2020,"674,878.90"
East Boston,2019,"641,187.80"
East Boston,2018,"588,832.08"
East Boston,2017,"465,880.75"
East Boston,2016,"414,721.80"
East Boston,2015,"392,807.39"
East Boston,2014,"352,934.76"
East Boston,2013,"283,562.50"
East Boston,2012,"225,819.33"
East Boston,2011,"182,939.13"
East Boston,2010,"196,168.82"
East Boston,2009,"192,011.43"
East Boston,2008,"218,722.90"
East Boston,2007,"286,551.34"
East Boston,2006,"309,341.44"
East Boston,2005,"351,661.76"
East Boston,2004,"290,650.00"
East Boston,2003,"240,270.83"
East Boston,2002,"196,675.91"
East Boston,2001,"188,440.82"
East Boston,2000,"155,860.78"
Hyde Park,2022,"611,711.43"
Hyde Park,2021,"593,050.94"
Hyde Park,2020,"502,232.64"
Hyde Park,2019,"465,403.20"
Hyde Park,2018,"436,497.63"
Hyde Park,2017,"524,438.62"
Hyde Park,2016,"353,847.90"
Hyde Park,2015,"334,028.52"
Hyde Park,2014,"313,942.73"
Hyde Park,2013,"298,639.01"
Hyde Park,2012,"260,348.02"
Hyde Park,2011,"262,205.32"
Hyde Park,2010,"260,386.54"
Hyde Park,2009,"246,274.52"
Hyde Park,2008,"253,807.54"
Hyde Park,2007,"309,392.14"
Hyde Park,2006,"334,600.28"
Hyde Park,2005,"343,873.74"
Hyde Park,2004,"323,717.97"
Hyde Park,2003,"323,051.65"
Hyde Park,2002,"253,074.21"
Hyde Park,2001,"224,278.92"
Hyde Park,2000,"190,914.13"
Jamaica Plain,2022,"1,318,521.20"
Jamaica Plain,2021,"1,105,333.06"
Jamaica Plain,2020,"1,048,990.24"
Jamaica Plain,2019,"953,828.43"
Jamaica Plain,2018,"1,077,510.56"
Jamaica Plain,2017,"938,059.65"
Jamaica Plain,2016,"814,412.37"
Jamaica Plain,2015,"866,311.61"
Jamaica Plain,2014,"792,650.78"
Jamaica Plain,2013,"640,857.37"
Jamaica Plain,2012,"574,859.11"
Jamaica Plain,2011,"573,857.32"
Jamaica Plain,2010,"572,578.61"
Jamaica Plain,2009,"553,417.64"
Jamaica Plain,2008,"567,016.84"
Jamaica Plain,2007,"540,959.07"
Jamaica Plain,2006,"599,363.16"
Jamaica Plain,2005,"554,161.81"
Jamaica Plain,2004,"533,309.67"
Jamaica Plain,2003,"484,089.21"
Jamaica Plain,2002,"452,778.16"
Jamaica Plain,2001,"434,700.25"
Jamaica Plain,2000,"345,348.35"
Longwood,2022,"3,000,000.00"
Longwood,2021,"4,781,250.00"
Longwood,2020,"3,230,000.00"
Longwood,2019,"4,277,617.50"
Longwood,2018,"3,665,000.00"
Longwood,2017,"5,325,000.00"
Longwood,2016,"3,400,000.00"
Longwood,2015,"4,056,250.00"
Longwood,2013,"2,412,500.00"
Longwood,2011,"2,187,875.00"
Longwood,2010,"2,150,000.00"
Longwood,2008,"1,421,666.67"
Longwood,2007,"2,025,000.00"
Longwood,2006,"1,887,500.00"
Longwood,2005,"1,287,642.86"
Longwood,2004,"812,000.00"
Longwood,2002,"1,356,250.00"
Longwood,2001,"982,000.00"
Longwood,2000,"1,577,500.00"
Mattapan,2022,"489,046.84"
Mattapan,2021,"495,319.61"
Mattapan,2020,"435,150.00"
Mattapan,2019,"386,661.55"
Mattapan,2018,"371,385.42"
Mattapan,2017,"346,878.28"
Mattapan,2016,"301,897.58"
Mattapan,2015,"357,787.85"
Mattapan,2014,"233,812.12"
Mattapan,2013,"239,346.63"
Mattapan,2012,"190,149.21"
Mattapan,2011,"206,819.06"
Mattapan,2010,"200,851.25"
Mattapan,2009,"167,997.73"
Mattapan,2008,"208,897.38"
Mattapan,2007,"271,346.02"
Mattapan,2006,"306,032.70"
Mattapan,2005,"331,114.94"
Mattapan,2004,"281,069.32"
Mattapan,2003,"258,972.22"
Mattapan,2002,"203,268.70"
Mattapan,2001,"192,543.65"
Mattapan,2000,"152,047.64"
Mission Hill,2022,"839,500.00"
Mission Hill,2021,"747,444.44"
Mission Hill,2020,"1,205,000.00"
Mission Hill,2019,"704,916.67"
Mission Hill,2018,"487,041.67"
Mission Hill,2017,"957,200.00"
Mission Hill,2016,"645,750.00"
Mission Hill,2015,"602,714.29"
Mission Hill,2014,"593,440.00"
Mission Hill,2013,"358,166.67"
Mission Hill,2012,"488,875.00"
Mission Hill,2011,"234,000.00"
Mission Hill,2010,"507,767.86"
Mission Hill,2009,"495,166.67"
Mission Hill,2008,"517,000.00"
Mission Hill,2007,"383,173.27"
Mission Hill,2006,"402,211.11"
Mission Hill,2005,"389,092.93"
Mission Hill,2004,"344,226.72"
Mission Hill,2003,"324,875.00"
Mission Hill,2002,"309,057.14"
Mission Hill,2001,"218,000.00"
Mission Hill,2000,"186,875.00"
Roslindale,2022,"768,096.92"
Roslindale,2021,"724,045.61"
Roslindale,2020,"618,111.72"
Roslindale,2019,"657,893.57"
Roslindale,2018,"613,046.92"
Roslindale,2017,"516,193.35"
Roslindale,2016,"499,295.08"
Roslindale,2015,"446,383.68"
Roslindale,2014,"421,280.44"
Roslindale,2013,"382,074.51"
Roslindale,2012,"311,275.87"
Roslindale,2011,"318,324.51"
Roslindale,2010,"325,863.09"
Roslindale,2009,"319,361.18"
Roslindale,2008,"337,792.57"
Roslindale,2007,"366,950.50"
Roslindale,2006,"372,222.47"
Roslindale,2005,"367,021.45"
Roslindale,2004,"364,717.00"
Roslindale,2003,"324,381.75"
Roslindale,2002,"296,955.95"
Roslindale,2001,"254,208.38"
Roslindale,2000,"213,076.75"
Roxbury,2022,"633,586.19"
Roxbury,2021,"515,511.11"
Roxbury,2020,"1,203,306.81"
Roxbury,2019,"537,875.16"
Roxbury,2018,"543,593.89"
Roxbury,2017,"409,653.16"
Roxbury,2016,"500,741.30"
Roxbury,2015,"437,380.00"
Roxbury,2014,"369,388.89"
Roxbury,2013,"257,949.73"
Roxbury,2012,"217,980.21"
Roxbury,2011,"176,489.45"
Roxbury,2010,"191,213.41"
Roxbury,2009,"156,597.04"
Roxbury,2008,"233,471.45"
Roxbury,2007,"274,667.68"
Roxbury,2006,"306,254.50"
Roxbury,2005,"286,593.76"
Roxbury,2004,"299,725.30"
Roxbury,2003,"259,021.81"
Roxbury,2002,"211,820.75"
Roxbury,2001,"175,023.19"
Roxbury,2000,"146,733.41"
South Boston,2022,"1,156,489.50"
South Boston,2021,"1,089,953.04"
South Boston,2020,"1,000,452.99"
South Boston,2019,"905,894.81"
South Boston,2018,"859,548.03"
South Boston,2017,"895,490.00"
South Boston,2016,"709,232.94"
South Boston,2015,"553,173.77"
South Boston,2014,"555,401.15"
South Boston,2013,"545,557.86"
South Boston,2012,"456,314.41"
South Boston,2011,"406,428.68"
South Boston,2010,"400,287.32"
South Boston,2009,"335,425.36"
South Boston,2008,"382,010.28"
South Boston,2007,"392,158.95"
South Boston,2006,"388,972.79"
South Boston,2005,"399,564.50"
South Boston,2004,"386,784.48"
South Boston,2003,"331,496.85"
South Boston,2002,"314,071.99"
South Boston,2001,"247,704.18"
South Boston,2000,"233,186.21"
South End,2022,"3,968,823.53"
South End,2021,"4,039,862.74"
South End,2020,"3,700,000.00"
South End,2019,"2,937,676.47"
South End,2018,"3,321,351.07"
South End,2017,"3,004,050.00"
South End,2016,"3,103,465.91"
South End,2015,"2,650,250.00"
South End,2014,"3,103,333.33"
South End,2013,"2,152,666.67"
South End,2012,"1,811,269.23"
South End,2011,"1,697,865.00"
South End,2010,"1,552,166.67"
South End,2009,"1,837,571.43"
South End,2008,"1,386,785.71"
South End,2007,"1,566,833.33"
South End,2006,"1,175,428.57"
South End,2005,"1,221,777.50"
South End,2004,"1,092,400.00"
South End,2003,"1,095,964.29"
South End,2002,"722,285.71"
South End,2001,"987,875.00"
South End,2000,"748,967.33"
West Roxbury,2022,"828,168.10"
West Roxbury,2021,"772,351.55"
West Roxbury,2020,"703,440.13"
West Roxbury,2019,"622,057.56"
West Roxbury,2018,"627,099.57"
West Roxbury,2017,"607,039.76"
West Roxbury,2016,"550,201.36"
West Roxbury,2015,"504,575.69"
West Roxbury,2014,"483,722.67"
West Roxbury,2013,"419,735.38"
West Roxbury,2012,"392,812.08"
West Roxbury,2011,"380,315.22"
West Roxbury,2010,"411,237.30"
West Roxbury,2009,"396,604.97"
West Roxbury,2008,"388,068.31"
West Roxbury,2007,"422,823.38"
West Roxbury,2006,"411,752.51"
West Roxbury,2005,"455,418.76"
West Roxbury,2004,"425,659.24"
West Roxbury,2003,"367,301.68"
West Roxbury,2002,"350,976.62"
West Roxbury,2001,"316,435.83"
West Roxbury,2000,"270,963.45"
